,band,count,flag
176,あるはるか,53.0,1.0
177,ミートザホープス,53.0,1.0
178,bye-bye circus,52.0,1.0
179,或る感覚,52.0,1.0
180,ファンタスティックフォー,52.0,-1.0
181,Re,52.0,-1.0
182,BACKDATE NOVEMBER,51.0,1.0
183,ワカバ,51.0,1.0
184,緒方恵美,51.0,0.0
185,よも,51.0,0.0
186,Riverside Creature,51.0,1.0
187,ぱいぱいでか美,51.0,1.0
188,テジナ,51.0,1.0
189,CittY,50.0,1.0
190,INNOSENT in FORMAL,50.0,1.0
191,How to count one to ten,50.0,1.0
192,OPEN 17,50.0,-1.0
193,PUNiK,50.0,1.0
194,BLUE SUGAR SPIRITS,49.0,1.0
195,she might be swimmer,49.0,1.0
196,discourage,49.0,1.0
197,The JFK,49.0,1.0
198,barican,49.0,1.0
199,プラグラムハッチ,49.0,1.0
200,Use With Caution,49.0,0.0
201,PALAISO,49.0,1.0
202,START 18,49.0,-1.0
203,after the greenroom,49.0,1.0
204,JEEP HASHIMOTO,49.0,0.0
205,タキザワユキヒト,48.0,1.0
206,サーティーン,48.0,1.0
207,Euphs,48.0,1.0
208,The holy's,48.0,1.0
209,タイラダイスケ,48.0,1.0
210,The nonnon,48.0,1.0
211,fifi,48.0,1.0
212,THE ROAMERS,47.0,1.0
213,opening act,47.0,-1.0
214,リコチェットマイガール,47.0,1.0
215,HUH,47.0,-1.0
216,MUSTANG JERX,47.0,1.0
217,BURNING SOUL,47.0,1.0
218,chifs,47.0,1.0
219,さとうみほの,47.0,1.0
220,ジョニーの憂鬱,47.0,1.0
221,No Gimmick Classics,47.0,1.0
222,Mr.ワリコメッツ,47.0,1.0
223,andsole,47.0,1.0
224,軍艦オクトパス,46.0,1.0
225,THEこっけんろーるBAND,46.0,1.0
226,ある日蔵の中,46.0,1.0
227,Dead Niqolson,46.0,1.0
228,QUORUM,46.0,1.0
229,トランヂスター,46.0,1.0
230,菅野翔太,45.0,0.0
231,奇妙礼太郎,45.0,1.0
232,カルナロッタ,45.0,1.0
233,カラス79,45.0,1.0
234,久土'N'茶谷,45.0,1.0
235,アバランチ,45.0,1.0
236,fourest,45.0,1.0
237,篠原ゆり,45.0,1.0
238,camellia,44.0,1.0
239,Canaria,44.0,0.0
240,57pictures,44.0,1.0
241,SEVENDAYS WEEKEND,44.0,1.0
242,グルパリ,44.0,1.0
243,片山さゆ里,44.0,1.0
244,ロイジプシー,44.0,1.0
245,パラダイムオーケストラ,44.0,1.0
246,1000pounds,44.0,1.0
247,HARAMITAS,44.0,0.0
248,極東のハリー,43.0,1.0
249,AKOGARE,43.0,0.0
250,Hi-Chronica,43.0,0.0
251,NOWEARMAN,43.0,1.0
252,PROTOTYPE,43.0,0.0
253,ギャスコイ,43.0,1.0
254,ドラびでお,43.0,1.0
255,あけみ,43.0,-1.0
256,一萬P,43.0,1.0
257,LITTLE WONDERS,43.0,1.0
258,小貫諒,43.0,1.0
259,LOSTAGE,43.0,1.0
260,S.F-cage,43.0,1.0
261,indigo la End,43.0,1.0
262,Maison book girl,43.0,1.0
