houseID,ctg,name,prefacture,url,box
71,b,横浜F.A.D,神奈川,http://www.fad-music.com/fad/?page_id=3,<hr/>:1日〜
72,b,横浜club Lizard,神奈川,http://www.club-lizard.com/lizard/?page_id=29,<hr/>:<p>
73,b,横浜B.B.street,神奈川,http://www.bbstreet.com/%4d/%s?cat=5,\d{4}年\d+?月:</body>
74,b,横浜7th AVENUE,神奈川,http://www2.big.or.jp/~7th/schedule/%2d%s.html,postdate">:divider
76,a,町田SDR,東京,http://www.m-sdr.com/schedule/index.cgi?year=%4d&mon=%d,.scheduleArea tr
77,a,ZEPP SAPPORO,北海道,http://hall.zepp.co.jp/sapporo/schedule.html?year=%4d&month=%s,.date_box
78,a,ZEPP NAGOYA,愛知,http://hall.zepp.co.jp/nagoya/schedule.html?year=%4d&month=%s,.date_box
79,a,ZEPP NAMBA,大阪,http://hall.zepp.co.jp/namba/schedule.html?year=%4d&month=%s,.date_box
80,b,高円寺CLUB MISSION'S,東京,http://www.live-missions.com/schedule.html?ym=%4d-%s,class="liveDate":footer
81,a,高円寺JIROKICHI,東京,http://jirokichi.net/category/%4d年%d月/,.post-schedule
82,a,下北沢ろくでもない夜,東京,http://69demonai46.com/date/%4d/%s/,.eventBox
83,b,高円寺ALONE,東京,http://k-alone.com/schedule/%2d/%s.html,sell1:/table
84,a,渋谷HOME,東京,http://www.toos.co.jp/home/h_schedule%2d_%s.html,table[width="510"]
85,a,渋谷チェルシーホテル,東京,http://www.chelseahotel.jp/%2d%s.html,.bold
86,b,柏ALIVE,千葉,http://sound.jp/alive/m/sche%d.html,<hr width="100%"/>:both
87,a,下北沢LIVEHOLIC,東京,http://liveholic.jp/schedule/%4d/%s/,.date
88,a,下北沢MORE,東京,http://smktmore.com/?page_id=587&month=%d&yr=%4d&dy=&cid=mini,.archive_m
89,a,下北沢BIG MOUTH,東京,http://www.livebarbigmouth.com/schedule/%4d/%4d.%s.html,tr
90,b,心斎橋paradigm,大阪,http://shinsaibashi-paradigm.com/category/live-%4d%s/,<dl class="clearfix">:よくあるご質問
91,a,大阪MUSE,大阪,http://www.arm-live.com/muse/osaka/liveschedule/index_%4d%s.html,table[width="600"] tr
92,a,心斎橋VARON,大阪,http://osaka-varon.jp/live.html?y=%4d&m=%d,.centerCont
93,a,北堀江club vision,大阪,http://vijon.jp/live.html?y=%4d&m=%d,.centerCont
94,a,難波BEARS,大阪,http://namba-bears.main.jp/schedule/%4d/%d.html,table[width="590"] tr
95,a,心斎橋BIGCAT,大阪,http://bigcat-live.com/%4d/%s,.schedule-wrap
